created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2025-03-03T04:35:50+00:00,1,0.00000,,,,,
2025-03-03T04:36:13+00:00,2,0.00084,,,,,
2025-03-03T04:36:40+00:00,3,0.00266,,,,,
2025-03-03T04:37:00+00:00,4,0.00508,,,,,
2025-03-03T04:37:38+00:00,5,0.01307,,,,,
2025-03-03T04:37:57+00:00,6,0.01470,,,,,
2025-03-03T04:38:17+00:00,7,0.01544,,,,,
2025-03-03T04:38:36+00:00,8,0.01628,,,,,
2025-03-03T04:38:53+00:00,9,0.01756,,,,,
2025-03-03T04:39:27+00:00,10,0.01786,,,,,
2025-03-03T04:39:48+00:00,11,0.01805,,,,,
2025-03-03T04:40:18+00:00,12,0.01884,,,,,
2025-03-03T04:40:45+00:00,13,0.01943,,,,,
2025-03-03T04:41:52+00:00,14,0.02008,,,,,
2025-03-03T04:42:39+00:00,15,0.02052,,,,,
2025-03-03T04:42:58+00:00,16,0.01864,,,,,
2025-03-03T04:43:20+00:00,17,0.01835,,,,,
2025-03-03T04:43:35+00:00,18,0.01756,,,,,
2025-03-03T04:44:11+00:00,19,0.02131,,,,,
2025-03-03T04:44:35+00:00,20,0.02259,,,,,
2025-03-03T04:45:16+00:00,21,0.02407,,,,,
2025-03-03T04:57:05+00:00,22,-0.00015,,,,,
2025-03-03T04:57:20+00:00,23,0.00242,,,,,
2025-03-03T04:57:36+00:00,24,0.00582,,,,,
2025-03-03T04:57:51+00:00,25,0.00671,,,,,
2025-03-03T04:58:24+00:00,26,0.00932,,,,,
2025-03-03T04:58:45+00:00,27,0.01100,,,,,
2025-03-03T04:59:03+00:00,28,25.51972,,,,,
2025-03-03T04:59:24+00:00,29,34.01304,,,,,
2025-03-03T04:59:41+00:00,30,46.84664,,,,,
2025-03-03T05:00:06+00:00,31,46.92645,,,,,
2025-03-03T05:00:28+00:00,32,47.00428,,,,,
2025-03-03T05:00:50+00:00,33,34.38815,,,,,
2025-03-03T05:01:07+00:00,34,21.74904,,,,,
2025-03-03T05:01:26+00:00,35,0.63338,,,,,
2025-03-03T05:01:57+00:00,36,-0.00035,,,,,
2025-03-03T05:02:13+00:00,37,-0.00049,,,,,
2025-03-03T05:02:37+00:00,38,0.00000,,,,,
2025-03-03T06:02:50+00:00,39,0.00079,,,,,
2025-03-03T06:03:05+00:00,40,0.00429,,,,,
2025-03-03T06:03:20+00:00,41,0.01154,,,,,
2025-03-03T06:03:36+00:00,42,0.02062,,,,,
2025-03-03T06:03:51+00:00,43,0.02575,,,,,
2025-03-03T06:04:07+00:00,44,0.02471,,,,,
2025-03-03T06:04:24+00:00,45,0.02644,,,,,
2025-03-03T06:04:40+00:00,46,0.02969,,,,,
2025-03-03T06:04:55+00:00,47,0.02871,,,,,
2025-03-03T06:05:11+00:00,48,0.02915,,,,,
2025-03-03T06:05:28+00:00,49,0.02545,,,,,
2025-03-03T06:05:44+00:00,50,0.02427,,,,,
2025-03-03T06:05:59+00:00,51,0.02555,,,,,
2025-03-03T06:06:16+00:00,52,0.02703,,,,,
2025-03-03T06:06:31+00:00,53,0.03260,,,,,
2025-03-03T06:06:48+00:00,54,0.03680,,,,,
2025-03-03T06:07:04+00:00,55,0.04128,,,,,
2025-03-03T06:07:20+00:00,56,0.04173,,,,,
2025-03-03T06:22:53+00:00,57,0.00054,,,,,
2025-03-03T06:23:10+00:00,58,0.00493,,,,,
2025-03-03T06:23:26+00:00,59,0.00947,,,,,
2025-03-03T06:23:43+00:00,60,0.43884,,,,,
2025-03-03T07:17:44+00:00,61,-0.00015,,,,,
2025-03-03T07:18:00+00:00,62,1.14152,,,,,
2025-03-03T07:18:17+00:00,63,1.14142,,,,,
2025-03-03T07:18:33+00:00,64,-0.00671,,,,,
2025-03-03T07:18:50+00:00,65,-0.00301,,,,,
2025-03-03T07:19:07+00:00,66,-0.00138,,,,,
2025-03-03T07:19:23+00:00,67,-0.00138,,,,,
2025-03-03T07:19:40+00:00,68,0.00123,,,,,
2025-03-03T07:19:56+00:00,69,0.00340,,,,,
2025-03-03T07:20:13+00:00,70,0.00400,,,,,
2025-03-03T07:20:29+00:00,71,0.00222,,,,,
2025-03-03T07:20:45+00:00,72,0.00498,,,,,
2025-03-03T07:21:01+00:00,73,0.00883,,,,,
2025-03-03T07:21:17+00:00,74,0.00917,,,,,
2025-03-03T07:21:33+00:00,75,0.00977,,,,,
2025-03-03T07:21:50+00:00,76,0.00957,,,,,
2025-03-03T07:22:07+00:00,77,0.00991,,,,,
2025-03-03T07:22:23+00:00,78,0.01238,,,,,
2025-03-03T07:22:40+00:00,79,0.01228,,,,,
2025-03-03T07:22:57+00:00,80,0.01189,,,,,
2025-03-03T07:23:13+00:00,81,0.01534,,,,,
2025-03-03T07:23:28+00:00,82,0.01638,,,,,
2025-03-03T07:23:43+00:00,83,0.01884,,,,,
2025-03-03T07:23:59+00:00,84,0.01820,,,,,
2025-03-03T07:24:15+00:00,85,0.02027,,,,,
2025-03-03T07:24:31+00:00,86,0.01781,,,,,
2025-03-03T07:24:47+00:00,87,0.01968,,,,,
2025-03-03T07:25:02+00:00,88,0.02155,,,,,
2025-03-03T07:25:18+00:00,89,0.02126,,,,,
2025-03-03T07:25:34+00:00,90,0.02042,,,,,
2025-03-03T07:25:50+00:00,91,0.01943,,,,,
2025-03-03T07:26:06+00:00,92,0.02264,,,,,
2025-03-03T07:26:22+00:00,93,0.02476,,,,,
